TransactionID,Timestamp,TransactionType,TransactionAmount,AccountBalance,AccountID
1,1/1/2016 3:47,transfer,2446.41,96273.47,5817
2,1/1/2016 4:20,transfer,2640.83,98629.95,9291
3,1/1/2016 5:12,withdrawal,574.82,65602.63,9618
4,1/1/2016 5:48,payment,1740.12,81461.66,2288
5,1/1/2016 6:26,transfer,292.43,18084.81,2688
6,1/1/2016 6:57,withdrawal,534.45,45834.3,3347
7,1/1/2016 8:59,transfer,2687.14,14687.11,3732
8,1/1/2016 9:11,deposit,45.04,33038.72,4117
9,1/1/2016 11:00,transfer,2539.15,31455.94,1037
10,1/1/2016 14:42,withdrawal,4987.86,46024.96,1389
11,1/1/2016 17:43,withdrawal,63235.19257,48265.52,8471
12,1/1/2016 19:42,payment,1263.6,56980.76,8757
13,1/1/2016 19:54,transfer,3398.86,60933.73,3651
14,1/2/2016 6:10,deposit,382.29,36031.7,3877
15,1/2/2016 6:28,payment,2907.44,46488.72,7628
16,1/2/2016 7:02,transfer,3429.68,50164.07,6103
17,1/2/2016 7:38,deposit,114.41,62074.81,4360
18,1/2/2016 10:27,payment,480.78,27230.16,9360
19,1/2/2016 10:30,transfer,2928.37,48312.57,7097
20,1/2/2016 12:21,transfer,1299.88,55467.81,6911
21,1/2/2016 14:39,transfer,4699.68,27783.5,8496
22,1/2/2016 15:35,transfer,1033.12,83428.22,6186
23,1/2/2016 16:43,payment,3856.35,95173.48,1587
24,1/2/2016 19:43,deposit,2018.03,94345.15,6783
25,1/2/2016 20:34,payment,837.62,89515.21,1474
26,1/2/2016 21:42,transfer,825.75,65118.14,3056
27,1/2/2016 23:56,withdrawal,1467.35,26609.06,1612
28,1/3/2016 2:23,deposit,4576.47,99591.03,1244
29,1/3/2016 5:28,withdrawal,1061.01,80073.11,1266
30,1/3/2016 5:59,transfer,4504.77,59584.01,8118
31,1/3/2016 10:58,deposit,4689,6840.48,4363
32,1/3/2016 11:30,deposit,4677.88,64255.88,1712
33,1/3/2016 17:16,transfer,4364.49,65642.15,6146
34,1/3/2016 20:42,deposit,421.45,28137.71,8618
35,1/3/2016 21:17,payment,4522.22,34089.65,1491
